mp_id,formula,band_gap,Ef_eV_atom,density_g_cm3,volume_A3,nsites,n_elements,crystal_system
mp-3120,Tm2Cu2O5,0.0,-2.646454218333334,7.7794681304177224,465.28789391413255,36,3,Orthorhombic
mp-4280,GaCuO2,0.728699999999999,-1.6747150606249912,6.266838422570757,43.7914016360515,4,3,Trigonal
mp-23083,KAs4BrO6,2.738699999999999,-1.7075144468541672,3.739056918091068,228.5749412938226,12,4,Hexagonal
mp-505168,DyCu(WO4)2,1.2412,-2.379824535972221,7.3819267796348385,162.34870428404807,12,4,Triclinic
mp-1018886,PdO2,0.0,-0.7275267350000001,7.144507572307173,64.3430838656573,6,2,Tetragonal
mp-622108,Ba2TmCu3O7,0.0,-2.1958138603846162,7.035325660398206,176.12984242319212,13,4,Orthorhombic
mp-1223800,K2NbO3F,1.2576,-2.8779088363571432,3.5209345091915,112.29225042744838,7,4,Tetragonal
mp-755480,KRbO,1.2445,-1.089603731583333,3.02128542244726,154.5133752885188,6,3,Tetragonal
mp-780721,Na4Bi2O5,2.691799999999999,-1.647489648456113,5.032046513419082,778.6732637642848,44,3,Monoclinic
mp-756428,LaTh4O10,0.0,-4.126057385666665,9.167964130746354,222.2486118112089,15,3,Tetragonal
mp-849292,V4O5F7,1.6077,-2.739119363124999,3.274448207936131,211.34329762635937,16,3,Triclinic
mp-558387,TeOF2,4.2002,-2.116769906666666,5.047810659288489,238.95317429838892,16,3,Monoclinic
mp-16964,SiO2,5.6779,-3.2607024966666662,1.956706232252906,611.8792444208717,36,2,Orthorhombic
mp-1190931,NaFe(MoO4)2,2.1186,-1.9753325826149442,3.4992656383474072,378.40709946501926,24,4,Monoclinic
mp-542314,NdCuSO,1.617999999999999,-2.261039174999999,6.463398253799101,131.4642510953574,8,4,Tetragonal
mp-29488,Na2ZnO2,1.4567,-1.6469667305517222,3.6909986017271583,258.03345167702247,20,3,Monoclinic
mp-5957,EuTaO4,0.0,-3.351891591222222,8.605990934639781,153.16857813340897,12,3,Monoclinic
mp-9745,Ba3NaRuO6,0.528099999999999,-2.445419504216302,5.728096149603655,366.44720469831395,22,4,Trigonal
mp-541611,La4Ru6O19,0.0,-2.318610322931035,6.481130307486791,375.6136305505552,29,3,Cubic
mp-555191,La3Si2Cl3O7,3.8686,-3.463876167000001,4.602591214815542,498.7775974946855,30,4,Monoclinic
mp-561224,TeO2,2.977999999999999,-1.494220703888888,5.9391630792713554,178.48982346178914,12,2,Orthorhombic
mp-17102,Ba4Ir3O10,0.0,-2.146047897647069,8.244807490194804,517.9927358767272,34,3,Monoclinic
mp-6254,Ba2TbNbO6,2.9923,-3.451506916666666,6.576068934851411,157.18446770642552,10,4,Tetragonal
mp-3530,Au(OF3)2,0.0,-0.947851747777778,3.446763372619445,165.22500179346437,9,3,Triclinic
mp-19266,Sr2FeWO6,1.768399999999999,-2.663015328,6.40521847653465,264.9105406068737,20,4,Monoclinic
mp-1223259,La2CoNiO6,0.9971999999999991,-2.572758715,6.968088919819693,117.11177298546602,10,4,Trigonal
mp-776441,VOF3,1.8397000000000001,-2.649892991999999,3.013749813134977,273.14908604060963,20,3,Triclinic
mp-1077953,Eu4As2O,0.0,-1.718471108571427,7.088426191228554,181.24710851380888,7,3,Tetragonal
mp-1101696,Na5VO4,,-1.791076403439655,2.539421427668903,601.2990388729111,40,3,Orthorhombic
mp-1078286,CeMnAsO,0.0,-1.889391043857759,6.464805565606248,146.91013657752939,8,4,Tetragonal
mp-38802,Ga2CoO4,0.47069999999999906,-1.938851103214287,6.173647769358231,282.2881606101674,28,3,Orthorhombic
mp-973981,LuBrO,4.3956,-3.3570168455555542,7.40891788353334,121.41877889759029,6,3,Tetragonal
mp-36262,BrO2F,2.897999999999999,-0.639116652499999,3.2972350326281132,131.8477813243962,8,3,Monoclinic
mp-1192209,As3Pb2BrO6,3.2587,-1.616680986458334,5.7306819540038,472.3513247775134,24,4,Monoclinic
mp-635713,TiZnO3,3.1234,-2.725401510666666,3.613922060579641,148.20580247472665,10,3,Triclinic
mp-760321,VOF,1.5228000000000002,-2.767011658333333,4.358340707315889,130.97238596371093,12,3,Orthorhombic
mp-6680,RbCa2Ta3O10,2.202499999999999,-3.3154395099687513,6.062365851477021,237.8797625030067,16,4,Tetragonal
mp-23489,CsIO4,2.5553,-1.167899420359194,4.27096065783515,503.58229283847345,24,3,Orthorhombic
mp-20758,Cr2CoO4,2.606,-2.132410751428586,5.183634917332189,145.38620266155158,14,3,Cubic
mp-998552,BaHfO3,3.5394,-3.786714650999999,8.332451498508037,72.50319461578196,5,3,Cubic
mp-1104306,Rb3(SeO4)2,0.0,-1.58927892670673,3.556663426728154,253.1983248896409,13,3,Trigonal
mp-556553,SiO2,5.1327,-3.187129669999999,2.5595497004538172,155.9216881954196,12,2,Monoclinic
mp-27702,InClO,2.364499999999999,-1.814578640555555,4.515925264596758,122.27770773078213,6,3,Orthorhombic
mp-698096,La5FeRe3O16,0.0,-2.953135516099999,7.801494630995528,666.2099452441853,50,4,Triclinic
mp-621994,NdOsO4,0.0,-2.47005434583334,8.507117148945575,622.2313162662745,48,3,Orthorhombic
mp-4122,GaPO4,4.439100000000001,-2.59967003924603,3.5632775967295283,230.24988768832185,18,3,Trigonal
mp-23123,FeMoClO4,1.5746,-1.746362022857142,3.22211784777339,258.95175063753993,14,4,Tetragonal
mp-28009,Ca4Fe9O17,0.16140000000000002,-2.115603673499999,4.220085036944616,367.87155980012705,30,3,Monoclinic
mp-3468,NaAsO2,3.7378,-1.857372651282327,3.499015464621543,493.21510789353823,32,3,Orthorhombic
mp-540583,SrCr2O4,0.0,-2.667741410714283,4.79301137331913,354.2241197828693,28,3,Orthorhombic
mp-22796,EuVO4,0.0,-2.825414495833325,5.203777281123206,170.33896748593494,12,3,Tetragonal
mp-19189,K2Co(SeO3)2,0.0,-1.607684705380681,3.791136117091015,342.56089129347,22,4,Trigonal
mp-768381,CoTeO4,0.7254,-1.354885936944445,5.077649157140572,163.86172404165526,12,3,Monoclinic
mp-753173,HoIO,3.4546,-3.092498383333333,7.119990287353348,143.5874707408288,6,3,Tetragonal
mp-1205362,NbAgO3,0.9891999999999991,-2.167828127333333,6.498195050477723,254.284099930991,20,3,Orthorhombic
mp-18794,Sm2TiMnO6,1.6792,-3.436049351626438,6.644904021153874,249.6574431734069,20,4,Monoclinic
mp-1194343,TmMoBrO4,1.9246,-2.595650299285715,5.459560148494112,497.3207976641021,28,4,Triclinic
mp-11344,PrO,0.0,-3.039014093333332,7.9558278104353795,32.74961356104325,2,2,Cubic
mp-1192808,GdWBrO4,0.6918000000000001,-2.657839921071428,6.281265645865158,512.8568312043838,28,4,Triclinic
mp-1202623,BaLa2Ti3O10,2.0536,-3.6812204284375,5.470858048323579,436.306010786732,32,4,Orthorhombic
mp-1020057,LiLaO2,3.7336,-3.172525210208333,5.558971731601202,212.49902529003253,16,3,Monoclinic
mp-768175,Dy2SO2,2.8611,-3.572321393166665,7.874163920749986,164.09504445224061,10,3,Hexagonal
mp-18576,Tm2Cu(B2O5)2,0.6744,-3.035146655392158,6.493391273659868,309.25256859142553,34,4,Monoclinic
mp-22230,BaPbO3,0.199299999999999,-2.108850153,8.185414704735301,159.25972054852807,10,3,Orthorhombic
mp-555836,Sn2PClO4,2.570599999999999,-2.139350682455357,4.305764312204171,283.72195468212544,16,4,Orthorhombic
mp-20435,V(PO3)3,0.0,-2.646898171071442,2.964676633082267,322.46244310658483,26,3,Monoclinic
mp-757208,Li3V2CrO6,,-2.464114564166667,3.991598417880612,225.2257804825418,24,4,Monoclinic
mp-1206996,La3AlO,0.0,-1.473911112000002,5.994536311154249,127.34019222510247,5,3,Cubic
mp-30058,TlSbO3,2.4362,-1.711936398666663,6.962178239709538,178.47189652307534,10,3,Trigonal
mp-1206631,NiPb2WO6,2.7937000000000003,-1.731523378999999,9.520338987213442,262.65227508947606,20,4,Cubic
mp-754269,Nd3SbO7,2.7436,-3.300930162045453,7.00726538691372,315.87759417381824,22,3,Orthorhombic
mp-776975,NbO2,0.0,-2.8255609466666662,6.153278652770998,269.65777786423155,24,2,Orthorhombic
mp-559838,HoMoO4F,3.7444,-2.998061516785714,5.6882299740288484,401.5333177236311,28,4,Monoclinic
mp-561472,Hg2PO3F,1.452,-1.88880420352041,6.254725514231465,530.0687805636511,28,4,Orthorhombic
mp-540872,AgSbO3,0.094599999999999,-1.444474670333332,6.786835394315514,271.7080679491053,20,3,Cubic
mp-542833,Zn3(BO3)2,2.6968,-2.274198815984848,4.045358984435142,515.3090735115295,44,3,Monoclinic
